iter	Logloss
0	0.6100442923
1	0.5373653954
2	0.4779518525
3	0.4242207047
4	0.3769254948
5	0.3346034821
6	0.3023803331
7	0.2751876294
8	0.254805167
9	0.2346769363
10	0.215438243
11	0.1980203485
12	0.1849567706
13	0.1750681042
14	0.1642683998
15	0.1544894564
16	0.1463945746
17	0.1388272024
18	0.1315318171
19	0.1261538758
20	0.1204584316
21	0.1159095837
22	0.1125646928
23	0.1092181435
24	0.1057212194
25	0.1025471879
26	0.1002685953
27	0.09791928864
28	0.09595366252
29	0.0943368405
30	0.09221912038
31	0.09014056848
32	0.08883323104
33	0.08757480731
34	0.08615977862
35	0.08521315408
36	0.0843569379
37	0.08328133777
38	0.08185873588
39	0.08087003136
40	0.07977824814
41	0.07892744929
42	0.07796714527
43	0.07714982924
44	0.07627458167
45	0.075238091
46	0.07478222812
47	0.07386603488
48	0.07327519445
49	0.07268696885
50	0.07189109924
51	0.07138080211
52	0.07088623155
53	0.07006642318
54	0.06944245846
55	0.06879430006
56	0.06818951793
57	0.06784997085
58	0.0673890221
59	0.06696812483
60	0.06658227106
61	0.06613822203
62	0.06569905671
63	0.06513697658
64	0.06476422697
65	0.0642206109
66	0.06363866635
67	0.06338365044
68	0.06296813899
69	0.06268416084
70	0.06233512717
71	0.06199377623
72	0.06171545972
73	0.06133172639
74	0.06085796219
75	0.06021589135
76	0.05984018518
77	0.05958887416
78	0.05920756696
79	0.05859266657
80	0.05834343782
81	0.05790306361
82	0.05758747001
83	0.05738486241
84	0.05710460713
85	0.05677565511
86	0.05646741638
87	0.05616813317
88	0.05582050271
89	0.05550526706
90	0.0552893615
91	0.05492422918
92	0.05463393268
93	0.05420837488
94	0.05398764024
95	0.05375577008
96	0.05349758147
97	0.05318702006
98	0.05297104846
99	0.05277079089
100	0.05258973847
101	0.05232283006
102	0.05207251883
103	0.05190261341
104	0.05149134215
105	0.05138647053
106	0.05119053695
107	0.05086762559
108	0.05064960118
109	0.05045557271
110	0.05017238328
111	0.0498372816
112	0.04969547184
113	0.04942482302
114	0.04927847029
115	0.04904561532
116	0.04876681686
117	0.04847829471
118	0.0482562551
119	0.0479493339
120	0.04779934747
121	0.04762804324
122	0.04733360773
123	0.04707703471
124	0.04688730151
125	0.04672016473
126	0.04652370571
127	0.04637473015
128	0.0461552924
129	0.04599220487
130	0.04591659365
131	0.04581570063
132	0.04555804674
133	0.0453914301
134	0.04531912796
135	0.04492266237
136	0.04466864728
137	0.04443152894
138	0.04429164693
139	0.04413179946
140	0.04398633336
141	0.04371833941
142	0.04350890802
143	0.04333067087
144	0.04303841835
145	0.04267701344
146	0.04248269103
147	0.04208412065
148	0.04194441136
149	0.04171190692
